"-OR-","-ATAU-"
"Basic Settings - PayPal Website Payments Pro Hosted Solution","Basic Settings - PayPal Website Payments Pro Hosted Solution"
"Basic Settings - PayPal Website Payments Pro Payflow Edition","Basic Settings - PayPal Website Payments Pro Payflow Edition"
"Basic Settings - PayPal Website Payments Standard","Basic Settings - PayPal Website Payments Standard"
"Billing Address","Alamat Tagihan"
"Billing Agreement Signup","Billing Agreement Signup"
"Bonus for first ACH Use","Bonus untuk penggunaan ACH"
"Both section above must be complete. ","Both section above must be complete. "
"Buyer Credit Payment","Pembayaran kredit pemberi"
"Buyer claims that a possible duplicate payment was made to the merchant.","Buyer claims that a possible duplicate payment was made to the merchant."
"Buyer claims that he did not receive goods or service.","Buyer claims that he did not receive goods or service."
"Buyer claims that he/she did not authorize transaction.","Buyer claims that he/she did not authorize transaction."
"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.","Buyer claims that the goods or service received differ from merchant’s description of the goods or service."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","Buyer claims that the received merchandise is unsatisfactory, defective, or damaged."
"Buyer\'s Tax ID","Buyer\'s Tax ID"
"Buyer\'s Tax ID Type","Buyer\'s Tax ID Type"
"By default it is ""reports.paypal.com"".","By default it is ""reports.paypal.com""."
"CNPJ","CNPJ"
"CPF","CPF"
"CVV Entry is Editable","CVV Entry is Editable"
"CVV2 Check Result by PayPal","CVV2 Cek hasil oleh PayPal"
"Can not send new order email.","Tidak dapat mengirim email pesanan baru."
"Cannot create target file for reading reports.","Tidak dapat membuat file target untuk membaca laporan."
"Centinel API URL","Centinel API URL"
"Centinel Custom API URL","Centinel Khusus  API URL"
"Charge-off","Biaya"
"Chargeback","Pembayaran balik"
"Checkout with PayPal","Checkout oleh PayPal"
"Choose a secure bundled payment solution for your business.","Choose a secure bundled payment solution for your business."
"City","Kota"
"Click here if you are not redirected within 10 seconds...","Click here if you are not redirected within 10 seconds..."
"Close","Tutup"
"Company","Perusahaan"
"Complaint","Complaint"
"Completion Date","Tanggal penyelesaian"
"Configure","Konfigurasi"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site.","Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site."
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site.","Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site."
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?"
"Continue","Lanjutkan"
"Countries Payment Applicable From","Pembayaran Negara terkait dari"
"Country","Negara"
"Coupon Redemption","Kupon penukaran"
"Credit","Kredit"
"Credit Card Settings","Pengaturan kartu kredit"
"Currency Conversion required to cover negative balance","Konversi Mata Uang dibutuhkan untuk menutupi saldo negatif"
"Custom","Khusus"
"Custom Endpoint Hostname or IP-Address","Hostname  Endpoint khusus atau IP-Address"
"Custom Path","Jalur khusus"
"Customer Information","Informasi Pelanggan"
"Customer did not include a confirmed address.","Pelanggan tidak mencantumkan alamat dikonfirmasi."
"Customer failed to pay.","Customer failed to pay."
"Customer used non-confirmed address.","Customer used non-confirmed address."
"Daily","Harian"
"Debit","Debit"
"Debit Card Cash Back","Kartu debit cash back"
"Debit Card Transaction","Transaksi kartu debit"
"Debit or Credit","Debit atau kredit"
"Debug Mode","Mode debug"
"Direct Payment API","Pembayaran langsung  API"
"Discount","Diskon"
"Display Express Checkout in the Payment Information step","Display Express Checkout in the Payment Information step"
"Displays on catalog pages and homepage.","Menampilkan pada halaman katalog dan beranda."
"Dispute","Dispute"
"Don't have a PayPal account? Simply enter your email address.","Don't have a PayPal account? Simply enter your email address."
"Dynamic","Dinamis"
"EFT Funding (German banking)","EFT Pendanaan (perbankan Jerman)"
"Edit Shopping Cart","Sunting cart"
"Email Address","Alamat Email"
"Email Associated with PayPal Merchant Account","Email Terkait dengan PayPal Akun Pedagang"
"Email Associated with PayPal Merchant Account (Optional)","Email Associated with PayPal Merchant Account (Optional)"
"Enable Automatic Fetching","Aktifkan Pengambilan Otomatis"
"Enable Express Checkout","Enable Express Checkout"
"Enable PayPal Guest Checkout","Aktifkan PayPal Checkout pengunjung"
"Enable Payflow Link","Enable Payflow Link"
"Enable SSL verification","Enable SSL verification"
"Enable this Solution","Enable this Solution"
"Enabled","Aktif"
"Event","Peristiwa"
"Event Code","Kode peristiwa"
"Every 10 days","setiap 10 hari"
"Every 14 days","Setiap 14 hari"
"Every 3 days","Setiap 3 hari"
"Every 30 days","Setiap 30 hari"
"Every 40 days","Setiap 40 hari"
"Every 7 days","Setiap 7 hari"
"Exact Match. Address and Postal Code. International","Exact Match. Address and Postal Code. International"
"Exact Match. Address and Postal Code. UK-specific","Exact Match. Address and Postal Code. UK-specific"
"Exact Match. Address and nine-digit ZIP code","Exact Match. Address and nine-digit ZIP code"
"Explanation: %s.","Explanation: %s."
"Express Checkout","Express Checkout"
"Express Checkout APIs","Express Checkout APIs"
"Express Checkout and Order have been canceled.","Checkout Kilat dan Pesanan telah Dibatalkan."
"Express Checkout has been canceled.","Checkout Kilat telah dibatalkan."
"Failed to fetch reports from '%s@%s'.","Gagal mengambil laporan dari '%s@%s'."
"Fax","Fax"
"Fee Amount","Jumlah biaya"
"Fee Debit or Credit","Biaya debit atau kredit"
"Fee Reversal","Biaya pembalikan"
"Fee: Foreign ACH Withdrawal","Biaya : Penarikan ACH asing"
"Fee: Mass Pay Request","Biaya:Permintaan Masa Bayar"
"Fee: Web Site Payments Pro Account Monthly","Biaya: Pembayaran situs akun pro bulanan"
"Fee: WorldLink Check Withdrawal","Biaya:Penarikan cek worldlink"
"Fetch","Mengambil"
"Fetch Updates","Perbaruai mengambil"
"Fetched %s report rows from '%s@%s'.","Ambil %s baris laporan dari '%s@%s'."
"For Virtual Quotes Only","For Virtual Quotes Only"
"Frontend Experience Settings","Pengaturan Pengalaman antar muka"
"Funding","Pembiayaan"
"General (Authorization)","Umum (otorisasi)"
"General (Dividend)","Umum (Dividen)"
"General (Funds Transfer from PayPal Account to Another)","Umum (Transfer Dana dari Akun PayPal ke yang lain)"
"General (Purchase with a credit card)","Umum ( membeli dengan kartu kredit )"
"General Adjustment without businessrelated event","Umum Penyesuaian tanpa peristiwa berhubungan dengan bisnis"
"General Currency Conversion","Konversi Mata uang umum"
"General Funding of PayPal Account ","General Funding of PayPal Account "
"General Redemption","Penukaran umum"
"General Withdrawal from PayPal Account","Penarikan umum dari akun paypal"
"General. Product no longer supported","General. Product no longer supported"
"General: Use of PayPal account for purchasing as well as receiving payments","Umum: Gunakan rekening PayPal untuk pembelian serta menerima pembayaran"
"General: Withdrawal from PayPal Account","Umum: Penarikan dari Rekening PayPal"
"General: Withdrawal to Non-Bank Entity","Umum: Penarikan entitas Non-Bank"
"General: adjustment of a type not belonging to the other T12xx categories","Umum: penyesuaian jenis yang tidak termasuk kategori T12xx lainnya"
"General: bonus of a type not belonging to the other T08xx categories","Umum: bonus jenis yang tidak termasuk kategori T08xx lainnya"
"General: event not yet categorized","Umum: peristiwa belum dikategorikan"
"General: non-payment fee of a type not belonging to the other T01xx categories","Umum: non-pembayaran biaya dari tipe yang tidak termasuk kategori T01xx lainnya"
"General: received payment of a type not belonging to the other T00xx categories","Umum: pembayaran yang diterima dari jenis yang tidak termasuk kategori T00xx lainnya"
"General: reversal of a type not belonging to the other T11xx categories","Umum: pembalikan jenis yang tidak termasuk kategori T11xx lainnya"
"General: temporary hold of a type not belonging to the other T15xx categories","Umum: tahan sementara dari jenis yang tidak termasuk kategori T15xx lainnya"
"Get Credentials from PayPal","Dapatkan Referensi dari PayPal"
"Gift Certificate Payment: purchase of Gift Certificate","Kupon Hadiah Pembayaran: pembelian Sertifikat Hadiah"
"Gift Certificate Redemption","Penebusan Kupon Hadiah"
"Gross Amount","Jumlah Kotor"
"Header Background Color","Warna latar belakang Header"
"Header Border Color","Warna Batas Header"
"Header Image URL","Gambar URL Header"
"Help","Bantuan"
"Hidden Virtual PayPal Debit Card Transaction","PayPal Kartu Debit Virtual Transaksi Tersembunyi"
"Hold for Dispute Investigation","Tahan selama Investigasi Sengketa"
"IPN ""%s"".","IPN ""%s""."
"IPN ""%s"". %s Transaction amount %s. Transaction ID: ""%s""","IPN ""%s"". %s Transaction amount %s. Transaction ID: ""%s"""
"IPN ""%s"". A dispute has been resolved and closed. %s Transaction amount %s.","IPN ""%s"". A dispute has been resolved and closed. %s Transaction amount %s."
"IPN ""%s"". Case type ""%s"". Case ID ""%s"" %s","IPN ""%s"". Case type ""%s"". Case ID ""%s"" %s"
"IPN verification ""%s"".","IPN verification ""%s""."
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement."
"If not specified, Default Country from General Config will be used","Jika tidak ditentukan, Acuan Negara dari konfigurasi Umum akan digunakan"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only."
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here."
"Impossible to issue a refund transaction because the capture transaction does not exist.","Tidak mungkin untuk mengeluarkan transaksi pengembalian dana karena transaksi pengambilan tidak ada."
"Incentive","Insentif"
"Initiation Date","Inisiasi data."
"Integral Evolution","Evolusi integral"
"Invoice ID","ID faktur"
"Issuer Liability","Kewajiban penerbit"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","It is recommended to set this value to ""Debit or Credit Card"" per store views."
"It is recommended to set this value to ""PayPal"" per store views.","It is recommended to set this value to ""PayPal"" per store views."
"Items in Your Shopping Cart","Item dalam cart Anda"
"Last Correlation ID","ID Terakhir Korelasi"
"Last Transaction ID","ID Terakhir Korelasi"
"Learn More","Selengkapnya"
"Login","Login"
"Mass Pay Payment","Massa Bayar Pembayaran"
"Matched (CVV2)","Cocok (CVV2)"
"Matched (CVV2CSC)","Cocok (CVV2CSC)"
"Matched Address only (no ZIP)","dicocokan hanya alamat (no ZIP)"
"Matched Address only (no ZIP). International","Matched Address only (no ZIP). International"
"Matched Postal Code only (no Address)","Hanya kode pos yang dicocokan (Alamat tidak ada)"
"Matched five-digit ZIP only (no Address)","Dicocokan lima-digit ZIP (no Address)"
"Matched whole nine-didgit ZIP (no Address)","Kode Pos dicocokkan saja (Alamat tidak ada)"
"Merchant Account","Akun penjual"
"Merchant Country","Negara Penjual"
"Merchant Liability","Kewajiban Penjual"
"Merchant Location","Merchant Location"
"Merchant Protection Eligibility","kewajiban proteksi penjual"
"Merchant Referral Bonus","Bonus arahan penjual"
"Merchant account doesn\'t have a withdrawal mechanism. Merchant must manually accept or deny this payment from your Account Overview.","Merchant account doesn\'t have a withdrawal mechanism. Merchant must manually accept or deny this payment from your Account Overview."
"Merchant account is not verified.","Merchant account is not verified."
"Merchant denied this pending payment.","Merchant denied this pending payment."
"Merchant holds a non-U.S. account and does not have a withdrawal mechanism.","Merchant holds a non-U.S. account and does not have a withdrawal mechanism."
"Merchant must upgrade account to Business or Premier status.","Merchant must upgrade account to Business or Premier status."
"Merchant reference ID format is not supported.","Format ID referensi Penjual tidak mendukung."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account."
"Mobile Payment (made via a mobile phone)","Pembayaran Handphone (dilakukan melalui telepon selular)"
"Multi-currency issue. Merchant must manually accept or deny this payment from PayPal Account Overview.","Multi-currency issue. Merchant must manually accept or deny this payment from PayPal Account Overview."
"N/A","N/A"
"N/A. Address not checked, or acquirer had no response. Service not available","N/A. Address not checked, or acquirer had no response. Service not available"
"N/A. Global Unavailable","N/A. Global Unavailable"
"N/A. International Unavailable","N/A. International Unavailable"
"N/A. Merchant has indicated that CVV2 is not present on card","N/A. Merchant has indicated that CVV2 is not present on card"
"N/A. No response","N/A. No response"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/A. Not allowed for MOTO (Internet/Phone) transactions"
"N/A. Not processed","N/A. Not processed"
"N/A. Retry","N/A. Retry"
"N/A. Service not Supported","N/A. Service not Supported"
"N/A. Service not available","N/A. Service not available"
"N/A. Service not supported","N/A. Service not supported"
"N/A. The merchant did not provide AVS information","N/A. The merchant did not provide AVS information"
"N/A. The merchant has not implemented CVV2 code handling","N/A. The merchant has not implemented CVV2 code handling"
"N/A. Unavailable","N/A. Unavailable"
"Negative Balance","Saldo negatif"
"Never","Tidak Pernah"
"No","Tidak"
"No Details matched","Detil tidak cocok"
"No Details matched. International","No Details matched. International"
"No Liability Shift","Tidak ada Pergeseran Kewajiban"
"No Logo","Tidak ada logo"
"No match","Tidak cocok"
"None of the address information matched","Tidak ada informasi alamat yang cocok"
"Not sure what PayPal payment method to use? Click <a href=""%s"" target=""_blank"">here</a> to learn more.","Not sure what PayPal payment method to use? Click <a href=""%s"" target=""_blank"">here</a> to learn more."
"Note: %s","Catat: %s"
"Nothing to fetch because of an empty configuration.","Tidak ada yang mengambil karena dari konfigurasi kosong."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available."
"Notified customer about creditmemo #%s.","Diberitahu pelanggan tentang memo kredit #%s."
"Notified customer about invoice #%s.","Diberitahu pelanggan tentang faktur #%s."
"Now accepting PayPal (150 X 40)","Sekarang menerima PayPal (150 X 40)"
"Now accepting PayPal (150 X 60)","Sekarang menerima PayPal(150 X 60)"
"Number of Child Authorizations","Jumlah Otorisasi Anak"
"Open Authorization","Buka otorisasi"
"Order","Pembelian"
"Order ID","ID pesanan"
"Order Valid Period (days)","Periode Valid Order (Hari)"
"Ordered amount of %s.","Jumlah yang dipesan dari %s."
"Ordering amount of %s is pending approval on gateway.","Jumlah pemesanan dari %s adalah menunggu persetujuan pada gateway "."
"Page Background Color","Warna Background Halaman"
"Page Style","gaya halaman"
"Part of the address information matched","Bagian dari informasi alamat yang cocok"
"Partner","Mitra"
"Pasarela integral","Pasarela terpadu"
"Password","Kata sandi"
"PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>"
"PayPal Balance Manager function of PayPal account","Fungsi pengelola saldo paypal dari akun Paypal"
"PayPal Billing Agreement Settings","PayPal Billing Agreement Settings"
"PayPal Buyer Warranty Bonus","Bonus jaminan pembeli paypal"
"PayPal Debit Card Cash Advance","PayPal Kartu Debit Penarikan Tunai"
"PayPal Debit Card Withdrawal from ATM","PayPal Kartu Debit Penarikan dari ATM"
"PayPal Express Checkout","PayPal Express Checkout"
"PayPal Express Checkout Shortcut Wrapper","PayPal Express Checkout Jalan Pintas Wrapper"
"PayPal Express Checkout Token does not exist.","Checkout PayPal Express Token tidak ada."
"PayPal Express Checkout is not enabled.","PayPal Express Checkout is not enabled."
"PayPal Express Order Review Form","PayPal Ekspres Tinjauan Formulir Pesanan"
"PayPal Fee Information","Informasi pembayaran PayPal"
"PayPal Merchant Pages Style","Gaya halaman Pedagang Paypal"
"PayPal Payment Gateways","PayPal Payment Gateways"
"PayPal Payment Solutions","PayPal Payment Solutions"
"PayPal Pro","PayPal Pro"
"PayPal Product Logo","Logo produk PayPal"
"PayPal Protection Bonus","Bonus proteksi PayPal"
"PayPal Reference ID","Id referensi PayPal"
"PayPal Reference ID Type","Jenis ID referensi PayPal"
"PayPal Settlement Reports","Laporan Penyelesaian PayPal"
"PayPal certificate does not exist.","Sertifikat PayPal tidak ada."
"PayPal certificate file is empty.","file sertifikat payal kosong."
"PayPal does not support processing orders with zero amount. To complete your purchase, proceed to the standard checkout process.","PayPal does not support processing orders with zero amount. To complete your purchase, proceed to the standard checkout process."
"PayPal gateway has rejected request. %s","PayPal gateway has rejected request. %s"
"PayPal recommends that you set up an additional User on your account at manager.paypal.com","PayPal recommends that you set up an additional User on your account at manager.paypal.com"
"PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here.","PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here."
"PayPal response hasn't required fields.","Respon PayPal tidak perlu bidang."
"PayPal retains reports for 45 days.","PayPal memegang laporan untuk 45 hari."
"PayPal/Centinel Electronic Commerce Indicator","PayPal / Centinel indikator Perdagangan Elektronik"
"PayPal/Centinel Visa Payer Authentication Service Result","PayPal/Centinel Visa Wajib Otentikasi Layanan Hasil"
"Payer Address ID","ID alamat pembayar"
"Payer Address Status","Status alamat pembayar"
"Payer Email","Email pembayar"
"Payer ID","ID Pembayar"
"Payer Status","Status pembayar"
"Payer is not identified.","Pembayar tidak ditentukan"
"Payflow Link","Payflow Link"
"Payflow Link (Includes Express Checkout)","Payflow Link (Includes Express Checkout)"
"Payflow Pro","Payflow Pro"
"Payflow Pro (Includes Express Checkout)","Payflow Pro (Includes Express Checkout)"
"Payflow Pro and Express Checkout","Payflow Pro and Express Checkout"
"Payment Action","Aksi pembayaran"
"Payment Applicable From","Terkait Dari Pembayaran"
"Payment Refund initiated by merchant","Pembayaran Kembali dimulai oleh pedagang"
"Payment has been declined. Please try again.","Payment has been declined. Please try again."
"Payment is being reviewed by PayPal for risk.","Payment is being reviewed by PayPal for risk."
"Payment transactions disallow storing objects.","Pembayaran transaksi menyimpan benda tidak mengizinkan."
"Payment was made to an email address that is not yet registered or confirmed.","Payment was made to an email address that is not yet registered or confirmed."
"Payments Advanced","Payments Advanced"
"Payments Advanced (Includes Express Checkout)","Payments Advanced (Includes Express Checkout)"
"Payments Pro (Includes Express Checkout)","Payments Pro (Includes Express Checkout)"
"Payments Pro Hosted Solution","Payments Pro Hosted Solution"
"Payments Pro and Express Checkout","Payments Pro and Express Checkout"
"Payments Standard","Payments Standard"
"Payments by PayPal (150 X 40)","Pembayaran oleh PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Pembayaran oleh PayPal (150 X 60)"
"Pending PayPal","PayPal Tertunda"
"Place Order","Menempatkan pesanan"
"Please agree to all the terms and conditions before placing the order.","Silahkan menyetujui semua syarat dan ketentuan sebelum menempatkan pesanan."
"Please contact PayPal Customer Service.","Please contact PayPal Customer Service."
"Please do not refresh the page until you complete payment.","Jangan memperbarui halaman sampai Anda menyelesaikan pembayaran."
"Please re-enable the previously enabled payment solutions.","Please re-enable the previously enabled payment solutions."
"Please select a shipping method...","Silahkan pilih metode pengiriman..."
"Please select region, state or province","Silakan pilih region, Negara Bagian atau Provinsi"
"Please update order data to get shipping methods and rates","Please update order data to get shipping methods and rates"
"Points Incentive Redemption","Poin Insentif Penukaran"
"Postage Payment to either USPS or UPS","Pembayaran ongkos kirim baik USPS atau UPS"
"Preapproved Payment (BillUser API), either sent or received","Pra disetujui Pembayaran (BillUser API), baik dikirim atau diterima"
"Preapproved Payment ID","ID Pembayaran Pra disetujui"
"Price","Harga"
"Pro","Pro"
"Process payments using your own internet merchant account.","Process payments using your own internet merchant account."
"Product Name","Nama Produk"
"Proxy Host","Host Proxy"
"Proxy Port","Port Proxy"
"Qty","Kuantitas"
"Reauthorization","reautorisasi"
"Reference Information","Informasi referensi"
"Reimbursement for a chargeback.","Penggantian untuk suatu chargeback"
"Reimbursement of Chargeback","Penggantian untuk suatu chargeback"
"Report Date","Tanggal laporan"
"Reports","Laporan"
"Requested %s and configured %s merchant emails do not match.","Requested %s and configured %s merchant emails do not match."
"Require CVV Entry","Dibutuhkan entri CVV"
"Require Customer's Billing Address","Require Customer's Billing Address"
"Required PayPal Settings","Required PayPal Settings"
"Required Settings","Required Settings"
"Reversal","pembalikan"
"Reversal of General Account Hold","Pembalikan atas pemegang akun umum"
"Reversal of Points Usage","Pembalikan dari pemegang poin"
"Reversal of an adjustment.","Pembalikan dari penyesuaian"
"Reversal of hold for Dispute Investigation","Pembalikan atas pemegang untuk Investigasi Sengketa"
"Review Order","Tinjauan pesanan"
"Reward Voucher Redemption","Penukaran Voucher Reward"
"SFTP Credentials","Surat pengenal SFTP"
"Sale","Penjualan"
"Sales","Penjualan"
"Same as shipping","Same as shipping"
"Sandbox Credentials","Referensi sandbox"
"Sandbox Mode","Sandbox Mode"
"Schedule","Jadwal"
"Schedule description is too long.","Deskripsi jadwal terlalu panjang"
"Scheduled Fetching","Pengambilan terjadwal"
"Select a Payment Solution","Select a Payment Solution"
"Send Email Confirmation","Send Email Confirmation"
"Server Error. Please try again.","Server Error. Please try again."
"Settlement Consolidation","Konsolidasi penyelesaian"
"Settlement Report Settings","Pengaturan laporan konsolidasi"
"Settlement of a chargeback.","penyelesaian pembayaran kembali."
"Severe 3D Secure Card Validation","Validasi Kartu yang berat keamanan 3D"
"Severe Validation Removes Chargeback Liability on Merchant","Validasi yang berat Menghapus Kewajiban Pembayaran balik pada Pedagang"
"Severe validation removes chargeback liability on merchant.","Validasi yang berat menghilangkan kewajiban pembayaran kembali pada pedagang."
"Shipping","Ekspedisi"
"Shipping Address","Alamat Pengiriman"
"Shipping Method","Metode Pengiriman"
"Shop now using (150 X 40)","Toko sekarang menggunakan (150 X 40)"
"Shop now using (150 X 60)","Toko sekarang menggunakan (150 X 60)"
"Shortcut","Jalan Pintas"
"Shortcut Buttons Flavor","Jalan pintas Tombol Flavor"
"Shortcut on Product View","Jalan pintas pada tampilan produk"
"Shortcut on Shopping Cart","Jalan pintas pada cart"
"Sign a billing agreement to streamline further purchases with PayPal.","Menandatangani kesepakatan penagihan untuk merampingkan pembelian lebih lanjut dengan PayPal."
"Solo","Tunggal"
