" or "," atau "
"All","Semua"
"All Store Views","Semua Tampilan Toko"
"All countries","Semua negara"
"Always optional.","Selalu opsional"
"Amount","Jumlah"
"An error occurred while deleting the address.","Galat terjadi ketika menghapus alamat."
"An error occurred while retrieving the option value: %s.","Galat terjadi ketika mengambil opsi nilai: %s."
"An error occurred while saving the collection, aborting. Error: %s","Galat terjadi ketika penyimpanan koleksi, proses dibatalkan. Galat: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Opsi ID tidak valid ditemukan untuk %s (%s), melewati catatan."
"Approved","Disetujui"
"Are you sure that you want to remove this item?","Apakah anda yakin bahwa anda akan menghapus item ini?"
"Are you sure you want to cancel adding of this address?","Apakah anda yakin ingin membatalkan penambahan alamat ini?"
"Are you sure you want to delete this address?","Apakah Anda yakin ingin menghapus alamat ini?"
"Are you sure?","Apakah anda yakin?"
"Array of Entity collections is expected.","Array dari Koleksi entitas yang diharapkan."
"Assign a Customer Group","Tentukan Grup Pelanggan"
"Average Sale","Rata-rata penjualan"
"Back","Kembali"
"Back - link to the previously viewed page","Kembali - tautan ke halaman sebelumnya dilihat"
"Back to Login","Kembali ke Login"
"Bad request.","Permintaan bermasalah"
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Based on the VAT ID, the customer would belong to the Customer Group %s."
"Bill to Name","Nama Tertagih"
"Bought From","Dibeli Dari"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Dengan membuat akun pada toko kami, anda akan bisa melalui proses checkout  dengan cepat, menyimpan alamat pengiriman, melihat dan melacak pesanan pada akun  Anda dan banyak lagi."
"CSV","CSV"
"Cancel","Batal"
"Cannot save a new password.","Tidak dapat menyimpan kata sandi baru."
"Cannot save address.","Tidak dapat menyimpan alamat:"
"Cannot save the customer.","Tidak dapat menyimpan pelanggan"
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Tidak dapat berbagi akun pelanggan secara global karena pelanggan beberapa akun dengan email yang sama ada di beberapa situs Web dan tidak dapat digabungkan."
"Change Account Password","Ubah kata sandi akun"
"Change Billing Address","Ubah alamat tagihan"
"Change Password","Ubah kata sandi"
"Change Shipping Address","Ubah alamat pengriman"
"City","Kota"
"Company","Perusahaan"
"Config","Konfigurasi"
"Configure","Konfigurasi"
"Confirm New Password","Konfirmasi Kata Sandi Baru"
"Confirm Password","Konfirmasi Kata Sandi"
"Confirmation Link Email","Konfirmasi Tautan surel"
"Confirmed","Terkonfirmasi"
"Contact Information","Informasi Kontak"
"Continue Shopping","Lanjut Berbelanja"
"Country","Negara"
"Create","Buat"
"Create New Account Options","Opsi Buat Akun Baru"
"Create New Customer Account","Buat Akun Pelanggan Baru"
"Create Order","Buat pesanan"
"Create an Account","Buat Akun"
"Create customer","Buat pelanggan"
"Create customer address","Buat alamat pelanggan"
"Current Password","Kata sandi saat ini"
"Customer","Pelanggan"
"Customer API","API Pelanggan"
"Customer Account Edit Form","Form sunting Akun Pelanggan"
"Customer Account Login Form","Form login Akun Pelanggan"
"Customer Account Logout Success","Logout Akun Pelanggan Sukses"
"Customer Account Registration Form","Form Registrasi Akun Pelanggan"
"Customer Addresses","Alamat Pelanggan"
"Customer Configuration","Konfigurasi Pelanggan"
"Customer Forgot Password Form","Form Lupa Kata Sandi Pelanggan"
"Customer Group","Grup Pelanggan"
"Customer Groups","Grup Pelanggan"
"Customer Information","Informasi Pelanggan"
"Customer Login","Login Pelanggan"
"Customer My Account (All Pages)","Akun saya pelanggan (Semua halaman)"
"Customer My Account Address Book","Buku alamat akun saya pelanggan"
"Customer My Account Address Edit Form","Form sunting alamat  pelanggan akun saya"
"Customer My Account Dashboard","Panel Kontrol Pelanggan Akun saya."
"Customer Since","Pelanggan sejak"
"Customer View","Tampilan pelanggan'"
"Customer collection expected.","Koleksi yang diharapkan pelanggan"
"Customer email is required","Email Pelanggan dibutuhkan"
"Customer website ID must be specified when using the website scope","ID website pelanggan harus ditentukan ketika menggunakan lingkup website"
"Customer will stay on the current page if ""No"" is selected.","Customer will stay on the current page if ""No"" is selected."
"Customers","Pelanggan"
"Customers Only","Hanya pelanggan"
"Customers Section","Bagian Pelanggan"
"DD","DD"
"Date","Tanggal"
"Date Added","Tanggal ditambahkan"
"Date of Birth","Tanggal Lahir"
"Day","Hari"
"Days in Wishlist","Hari dalam wishlist"
"Default Addresses","Acuan Alamat"
"Default Billing Address","Alamat tagihan standar"
"Default Email Domain","Domain Email Standar"
"Default Group","Grup Acuan"
"Default Shipping Address","Alamat pengiriman standar"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Default Value for Disable Automatic Group Changes Based on VAT ID"
"Default Welcome Email","Acuan Email selamat datang"
"Delete","Hapus"
"Delete Address","Hapus Alamat"
"Delete Customer","Hapus Pelanggan"
"Delete Customer Group","Hapus Kelompok Pelanggan"
"Delete customer","Hapus pelanggan"
"Delete customer address","Hapus alamat pelanggan"
"Deleted Stores","Hapus Toko"
"Details","Detil"
"Disabled","Non aktif"
"Edit","Sunting"
"Edit Account Info","Sunting info akun"
"Edit Account Information","Sunting info akun"
"Edit Address","Sunting alamat"
"Edit Address Entry","Sunting Entri Alamat"
"Edit Customer Group ""%s""","Edit Customer Group ""%s"""
"Edit Customer Groups","Sunting Kelompok Pelanggan"
"Edit Customer's Address","Sunting alamat Pelanggan"
"Edit Group","Sunting grup"
"Edit Newsletters","Sunting buletin"
"Email","Email"
"Email Address","Alamat Email"
"Email Sender","Email pengirim"
"Email:","Email:"
"Enable Automatic Assignment to Customer Group","Enable Automatic Assignment to Customer Group"
"Entity collection is expected.","Koleksi entitas yang diharapkan."
"Excel XML","Excel XML"
"Failed to confirm customer account.","Gagal untuk mengkonfirmasi akun pelanggan"
"Fax","Fax"
"First Name","Nama awal"
"Forgot Email Template","Lupa template email"
"Forgot Password","Forgot Password"
"Forgot Your Password","Lupa kata sandi Anda"
"Forgot Your Password?","Lupa kata sandi Anda?"
"Forgot and Remind Email Sender","Forgot and Remind Email Sender"
"Form Fields Before","Formulir Bidang Sebelumnya"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information."
"Gender","Gender"
"Gender is required.","Gender is required."
"General Subscription","Berlangganan umum"
"Generate Human-Friendly Customer ID","Menghasilkan ID pelanggan yang ramah"
"Global","Global"
"Group","Grup"
"Group Information","Informasi Grup"
"Group Name","Nama Grup"
"Group for Invalid VAT ID","Group for Invalid VAT ID"
"Group for Valid VAT ID - Domestic","Group for Valid VAT ID - Domestic"
"Group for Valid VAT ID - Intra-Union","Group for Valid VAT ID - Intra-Union"
"Guest","Tamu"
"HTML","HTML"
"Hello, %s!","Halo, %s!"
"ID","ID"
"IP Address","Alamat IP"
"If you believe this is an error, please contact us at %s","If you believe this is an error, please contact us at %s"
"If you have an account with us, please log in.","Jika Anda memiliki akun kami, silakan masuk."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Pilihan tidak valid untuk atribut atribut yang ditetapkan %s (%s), lewati record."
"Invalid attribute set specified, skipping the record.","Atribut tidak valid ditetapkan, lewati record."
"Invalid billing address for (%s)","Invalid billing address for (%s)"
"Invalid current password","Kata kunci sekarang tidak valid"
"Invalid customer data","Data konsumen tidak valid"
"Invalid email address ""%s"".","Invalid email address ""%s""."
"Invalid email address.","Alamat email tidak valid."
"Invalid login or password.","login atau kata sandi tidak valid."
"Invalid password reset token.","Invalid password reset token."
"Invalid shipping address for (%s)","Invalid shipping address for (%s)"
"Invalid store specified, skipping the record.",""Toko yang ditentukan tidak valid, lewati catatan."
"Invalid website, skipping the record, line: %s","Invalid website, skipping the record, line: %s"
"Last Activity","Aktifitas Terakhir"
"Last Date Subscribed","Tanggal berlangganan terakhir"
"Last Date Unsubscribed","Tanggal tidak berlangganan terakhir"
"Last Name","Nama akhir"
"Last URL","URL akhir"
"Leave empty for default (15 minutes).","Biarkan kosong untuk standarnya(15 menit)."
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Lifetime Sales","Penjualan Sepanjang masa"
"Log In","Masuk"
"Log Out","Keluar"
"Login","Login"
"Login Information","Informasi Login"
"Login Options","Login Options"
"Login and password are required.","Login dan kata sandi dibutuhkan"
"Login or Create an Account","Login atau buat sebuah akun"
"MM","MM"
"Manage Addresses","Kelola Alamat"
"Manage Customers","Kelola Pelanggan"
"Maximum length must be less then %s symbols","Maximum length must be less then %s symbols"
"Missing email, skipping the record, line: %s","Missing email, skipping the record, line: %s"
"Missing email, skipping the record.","Email Hilang, Lewati record."
"Missing first name, skipping the record, line: %s","Missing first name, skipping the record, line: %s"
"Missing firstname, skipping the record.","Nama Awal hilang, Lewati record."
"Missing last name, skipping the record, line: %s","Missing last name, skipping the record, line: %s"
"Missing lastname, skipping the record.","Nama Akhir Hilang, Lewati record."
"Missing website, skipping the record, line: %s","Missing website, skipping the record, line: %s"
"Month","Bulan"
"My Account","Akun saya"
"My Account Wrapper","Pembungkus akun saya"
"My Dashboard","Dashboard saya"
"My Orders","Pesanan Saya"
"Name","Nama"
"Name and Address Options","Nama dan pilihan alamat"
"Never","Tidak Pernah"
"New Address","Alamat Baru"
"New Address Entry","Entri Alamat Baru"
"New Customer","Pelanggan Baru"
"New Customer Address","Alamat Pelanggan Baru"
"New Customer Group","Kelompok Pelanggan Baru"
"New Customer Groups","Kelompok Pelanggan Baru"
"New Customers","Pelanggan Baru"
"New Group","Grup Baru"
"New Password","Kata sandi baru"
"New account","Akun Baru"
"New account confirmation key","Kunci konfirmasi akun baru"
"New account confirmed","Akun baru dikonfirmasi"
"New password field cannot be empty.","Kolom kata sandi baru tidak boleh kosong."
"Newsletter","Buletin Berkala"
"Newsletter Finish","Buletin Selesai"
"Newsletter Information","Informasi Buletin"
"Newsletter Received","Buletin diterima"
"Newsletter Start","Buletin dimulai"
"Newsletter Subscription","Pendaftaran Surat"
"Newsletters","Buletin"
"No Items Found","Tidak ada item ditemukan"
"No Newsletter Found","Tidak ada buletin ditemukan"
"No customer collections found","Tidak ada koleksi pelanggan ditemukan"
"No item specified.","Tidak ada item ditentukan"
"Not Sent","Tidak terkirim"
"Not confirmed, can login",""Tidak dikonfirmasi, dapat masuk"
"Not confirmed, cannot login",""Tidak dikonfirmasi, tidak dapat masuk"
"Number of Lines in a Street Address ","Number of Lines in a Street Address "
"Offline","Offline"
"Online","Online"
"Online Customers","Pelanggan Online"
"Online Customers Options","Pilihan pelanggan Online"
"Online Minutes Interval","Interval menit online"
"Order #","Pesanan #"
"Order Total","Total pesanan"
"Orders","Pesanan"
"PDF","PDF"
"Password","Kata sandi"
"Password Management","Atur kata sandi"
"Password Options","Pilihan kata sandi"
"Password forgotten","Lupa kata sandi"
"Password:","Password:"
"Paused","Jeda"
"Pending","Tunda"
"Per Website","Per situs"
"Personal Information","Informasi Personal"
"Please enter a number 1 or greater in this field.","Please enter a number 1 or greater in this field."
"Please enter a valid date between %s and %s at %s.","Please enter a valid date between %s and %s at %s."
"Please enter a valid date equal to or greater than %s at %s.","Please enter a valid date equal to or greater than %s at %s."
"Please enter a valid date less than or equal to %s at %s.","Please enter a valid date less than or equal to %s at %s."
"Please enter the city.","Please enter the city."
"Please enter the country.","Please enter the country."
"Please enter the first name.","Please enter the first name."
"Please enter the last name.","Please enter the last name."
"Please enter the state/province.","Please enter the state/province."
"Please enter the street.","Please enter the street."
"Please enter the telephone number.","Please enter the telephone number."
"Please enter the zip/postal code.","Please enter the zip/postal code."
"Please enter your email address below. You will receive a link to reset your password.","Please enter your email address below. You will receive a link to reset your password."
"Please enter your email below and we\'ll send you confirmation link for it.","Silakan masukan email Anda di bawah ini dan kami akan mengirimkan tautan konfirmasi untuk itu."
"Please enter your email.","Silakan masukan email anda."
"Please make sure your passwords match.","Pastikan bahwa kata sandi anda cocok"
"Please select a website which contains store view","Please select a website which contains store view"
"Please select region, state or province","Silakan pilih region, Negara Bagian atau Provinsi"
"Please, check your email for confirmation key.",""
"Prefix Dropdown Options","Opsi Prefix Dropdown"
"Price","Harga"
"Product","Produk"
"Product ID","ID produk"
"Product Name","Nama Produk"
"Product Reviews","Tinjauan produk"
"Product Tags","Tag Produk"
"Purchase On","Membeli pada"
"Purchased On","Dipeli Pada"
"Qty","Kuantitas"
"Recent Orders","Pesanan saat ini"
"Records for %s store found.","Record untuk %s toko ditemukan."
"Recovery Link Expiration Period (days)","Recovery Link Expiration Period (days)"
"Redirect Customer to Account Dashboard after Logging in","Mengarahkan ke Dashboard Rekening Nasabah setelah Logging di"
"Refunded","Refunded"
"Registered Customers","Pelanggan terdaftar"
"Remind Email Template","Remind Email Template"
"Remind Password","Remind Password"
"Remove","Hapus"
"Require Emails Confirmation","Membutuhkan konfirmasi email"
"Reset a Password","Reset a Password"
"Retrieve address data","Menerima data alamat"
"Retrieve address info","Menerima info alamat"
"Retrieve customer addresses","Menerima alamat pelanggan"
"Retrieve customer data","Menerima data pelanggan"
"Retrieve customer groups","Ambil kelompok pelanggan"
"Retrieve customer info","Ambil Info pelanggan"
"Retrieve customers","Menerima pelanggan"
"Retrieve your confirmation link here","Menerima tautan konfirmasi anda disini"
"Retrieve your password here","Menerima kata sandi anda disini"
"SKU","SKU"
"Sales Statistics","Statistik penjualan"
"Save","Simpan"
"Save Address","Simpan Alamat"
"Save Customer","Simpan pelanggan"
"Save Customer Group","Simpan grup pelanggan"
"Save Password","Simpan kata sandi"
"Save and Continue Edit","Simpan dan lanjutkan sunting"
"Saved %d record(s)","Simpan %d record(s)"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.",""
"Send Auto-Generated Password","Send Auto-Generated Password"
"Send From","Kirim dari"
"Send Welcome Email","Kirim Email selamat datang"
"Send Welcome Email after Confirmation","Kirim email selamat datang setelah konfirmasi"
"Send confirmation link","Kirim tautan konfirmasi"
"Sending","mengirim"
"Sent","terkirim"
"Session Start Time","Sesi waktu mulai"
"Set as Default Billing Address","Setel sebagai alamat tagihan standar"
"Set as Default Shipping Address","Setel sebagai alamat pengiriman standar"
"Share Customer Accounts","Berbagi akun pelanggan"
"Shipped to First Name","dikirim ke nama depan"
"Shipped to Last Name","Dikirim ke nama belakang"
"Shipped to Name","Dikirim ke nama"
"Shopping Cart","Cart belanja"
"Shopping Cart - %d item(s)","cart belanja - %d barang(s)"
"Shopping Cart of %1$s - %2$d item(s)","Shopping Cart of %1$s - %2$d item(s)"
"Show Date of Birth","Tampilkan tanggal Lahir"
"Show Gender","Tampilkan Gender"
"Show Middle Name (initial)","Tampilkan nama tengah (inisial)"
"Show Prefix","Tampilkan Prefix"
"Show Suffix","Tampilkan Suffix"
"Show Tax/VAT Number","Tampilkan Jumlah Pajak/VAT"
"Show VAT Number on Frontend","Show VAT Number on Frontend"
"Sign Up for Newsletter","Daftar untuk buletin"
"Skipping import row, required field ""%s"" is not defined.","Skipping import row, required field ""%s"" is not defined."
"Skipping import row, website ""%s"" field does not exist.","Skipping import row, website ""%s"" field does not exist."
"State/Province","Negara/Provinsi"
"Status","Status"
"Store","Toko"
"Store View","Tampilan toko"
"Street Address","Alamat Jalan"
"Street Address %s","Alamat Jalan %s"
"Subject","Subyek"
"Submit","Mengajukan"
"Subscribe to Newsletter","Berlangganan Buletin"
"Subscribed to Newsletter?","Berlangganan buletin?"
"Suffix Dropdown Options","Opsi dropdown Suffix"
"Tag Name","Nama tag"
"Tax Calculation Based On","Kalkulasi Pajak Berdasarkan pada"
"Tax Class","Tingkat pajak"
"Tax/VAT number","Tax/VAT nomor"
"Telephone","Telepon"
"Text","Teks"
"Text One Line","Teks online"
"Thank you for registering with %s.","Terima kasih atas pendaftaran dengan %s."
"The Date of Birth is required.","The Date of Birth is required."
"The TAX/VAT number is required.","The TAX/VAT number is required."
"The VAT ID entered (%s) is not a valid VAT ID.","The VAT ID entered (%s) is not a valid VAT ID."
"The VAT ID entered (%s) is not a valid VAT ID. The customer would belong to Customer Group %s.","The VAT ID entered (%s) is not a valid VAT ID. The customer would belong to Customer Group %s."
"The VAT ID is valid. The current Customer Group will be used.","The VAT ID is valid. The current Customer Group will be used."
"The account information has been saved.","Informasi akun telah di simpan"
"The address does not belong to this customer.","Alamat tersebut bukan milik pelanggan tersebut"
"The address has been deleted.","Alamat telah dihapus"
"The address has been saved.","Alamat telah disimpan"
"The customer ID and email did not match, skipping the record, line: %s","The customer ID and email did not match, skipping the record, line: %s"
"The customer does not have default billing address.","Pelanggan tidak memiliki alamat tagihan standar."
"The customer email (%s) already exists, skipping the record, line: %s","The customer email (%s) already exists, skipping the record, line: %s"
"The customer group has been deleted.","Grup pelanggan telah dihapus"
"The customer group has been saved.","Grup pelanggan telah disimpan"
"The customer is currently assigned to Customer Group %s.","The customer is currently assigned to Customer Group %s."
"The first name cannot be empty.","The first name cannot be empty."
"The group ""%s"" cannot be deleted","The group ""%s"" cannot be deleted"
"The last name cannot be empty.","The last name cannot be empty."
"The minimum password length is %s","The minimum password length is %s"
"The password cannot be empty.","The password cannot be empty."
"The password must have at least 6 characters. Leading or trailing spaces will be ignored.","The password must have at least 6 characters. Leading or trailing spaces will be ignored."
"The suffix that goes after name (Jr., Sr., etc.)",""Akhiran yang masuk setelah nama (Jr, Sr, dll)"
"The title that goes before name (Mr., Mrs., etc.)",""Judul yang masuk sebelum nama (Mr, Mrs, dll)"
"There are no items in customer's wishlist at the moment",""Tidak ada item dalam daftar keinginan pelanggan pada saat ini"
"There are no items in customer\'s shopping cart at the moment","Tidak ada items pada cart belanja pelanggan pada saat ini"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account."
"There was an error validating the VAT ID.","There was an error validating the VAT ID."
"There was an error validating the VAT ID. The customer would belong to Customer Group %s.","There was an error validating the VAT ID. The customer would belong to Customer Group %s."
"This account is not confirmed.","Akun ini tidak dikonfirmasi."
"This customer email already exists","Email pelanggan ini sudah ada"
"This customer has no saved addresses.","Alamat pelanggan ini belum disimpan"
"This email does not require confirmation.","Email ini tidak dibutuhkan konfirmasi."
"This email will be sent instead of default welcome email, after account confirmation.","Email ini akan dikirim sebagai pengganti email selamat datang standar, setelah konfirmasi akun."
"This is My Default %s Address","Ini adalah alamat %s Standar saya"
"To Cart","Ke keranjang"
"To show VAT number on frontend, set Show VAT Number on Frontend option to Yes.","To show VAT number on frontend, set Show VAT Number on Frontend option to Yes."
"Total","Total"
"Type","Jenis"
"Unable to save the customer.","Unable to save the customer."
"Unknown","Tidak diketahui"
"Unsubscribe from Newsletter","Berhenti berlangganan buletin"
"Update","Perbarui"
"Update customer address data","Perbarui data alamat pelanggan"
"Update customer data","Perbarui data pelanggan"
"Use as My Default %s Address","Gunakan sebagai alamat %s standar saya"
"Use as My Default Billing Address","Gunakan sebagai alamat standar tagihan saya"
"Use as My Default Shipping Address","Gunakan sebagai alamat standar pengiriman saya"
"Use as my default billing address","Gunakan sebagai alamat tagihan standar saya"
"Use as my default shipping address","Gunakan sebagai alamat pengiriman standar saya"
"VAT Number","VAT Number"
"VAT Request Date","VAT Request Date"
"VAT Request Identifier","VAT Request Identifier"
"Validate VAT Number","Validate VAT Number"
"Validate on Each Transaction","Validate on Each Transaction"
"Validation Error Group","Validation Error Group"
"View","Lihat"
"View Order","Lihat pesanan"
"Visitor","Pengunjung"
"Visitors Only","Hanya Pengunjung"
"Website","Situs"
"Welcome Email","Email selamat datang"
"Wishlist","Wishlist"
"Wishlist - %d item(s)","Daftar keinginan - %d item(s)"
"Would you like to change the Customer Group for this order?","Would you like to change the Customer Group for this order?"
"Wrong confirmation key.","Kunci konfirmasi salah"
"Wrong customer account specified.","Akun pelanggan salah ditentukan"
"Wrong email.","Email salah"
"Wrong transactional account email type","Tipe akun email transaksi salah"
"YYYY","YYYY"
"Year","Tahun"
"You are currently not subscribed to any newsletter.","Anda saat ini tidak berlangganan buletin apapun"
"You are currently not subscribed to our newsletter.","Anda saat ini tidak berlangganan buletin kami."
"You are currently subscribed to 'General Subscription'.","Anda saat ini terdaftar untuk 'Berlangganan Umum'."
"You are currently subscribed to our newsletter.","Anda saat ini tidak berlangganan buletin kami."
"You are now logged out","Anda sekarang keluar"
"You have logged out and will be redirected to our homepage in 5 seconds.","Anda telah keluar dan akan diarahkan ke halaman beranda dalam 5 detik."
"You have no additional address entries in your address book.","Anda tidak memiliki masukan alamat tambahan dalam buku alamat Anda."
"You have no additional entries in your address book.","Anda tidak memiliki masukan tambahan di buku alamat Anda"
"You have no default billing address in your address book.","Anda tidak memiliki alamat standar penagihan di buku alamat Anda"
"You have no default entries in your address book.","Anda tidak memiliki standar entri pada buku alamat Anda."
"You have no default shipping address in your address book.","Anda tidak memiliki alamat standar pengiriman di buku alamat Anda."
"You have not set a default billing address.","Anda belum mengatur alamat tagihan standar."
"You have not set a default shipping address.","Anda belum mengatur alamat pengiriman standar."
"You have placed no orders yet.","Anda belum menempatkan pesanan."
"You have placed no products yet.","Anda belum menempatkan produk."
"You will be charged tax.","Anda akan dikenai pajak."
"You will not be charged tax.","Anda tidak akan dikenai pajak."
"Your Tax ID cannot be validated.","Your Tax ID cannot be validated."
"Your VAT ID was successfully validated.","Your VAT ID was successfully validated."
"Your account balance is: %s","Saldo akun Anda adalah: %s"
"ZIP","Kode Pos"
"ZIP/Post Code","Kode Pos"
"Zip/Postal Code","Zip/Kode Pos"
"n/a","n/a"
"or","atau"
"register","registrasi"
